縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數,3號得票數,4號得票數,5號得票數
基隆市,225543,1958,227501,2,275256,106032,48545,295,1116,69555
臺北市,1587166,12449,1599615,22,1914915,631538,347564,1876,8723,597465
臺北縣,2019149,22711,2041860,24,2437456,812821,451707,2384,10641,741596
桃園縣,943092,11628,954720,7,1134413,413370,208881,1140,20581,299120
新竹市,206444,2185,208629,3,249395,88412,46234,292,1746,69760
新竹縣,248608,2607,251215,1,295192,128231,51442,309,7093,61533
苗栗縣,323368,3298,326666,1,390780,160533,71798,399,3931,86707
臺中縣,836030,9344,845374,5,992527,318499,206832,1176,4304,305219
臺中市,525752,5000,530752,8,636533,217486,111391,616,2463,193796
彰化縣,745447,7997,753444,3,896075,251310,191685,1070,2811,298571
南投縣,308637,2622,311259,1,383478,144863,56025,395,914,106440
雲林縣,412285,3298,415583,6,538140,114188,102177,975,1230,193715
嘉義市,149184,1134,150318,0,183325,43773,34670,169,448,70124
嘉義縣,318292,3006,321298,2,410702,85890,73409,561,920,157512
臺南市,415227,3282,418509,2,508517,114299,107679,580,1408,191261
臺南縣,645616,5531,651147,7,789844,136217,159443,1164,1582,347210
高雄市,869928,8103,878031,2,1042117,259023,208544,877,3103,398381
高雄縣,726692,5851,732543,10,874875,206616,174021,1024,2478,342553
屏東縣,515508,4008,519516,13,647524,131371,142934,692,1939,238572
宜蘭縣,261874,2029,263903,5,325691,86549,51082,350,736,123157
花蓮縣,186979,2201,189180,5,252771,109962,36043,194,736,40044
臺東縣,121104,1418,122522,0,177706,63913,28659,136,294,28102
金門縣,24435,214,24649,0,35808,19991,3543,37,105,759
澎湖縣,44811,388,45199,0,64887,17723,10418,64,119,16487
連江縣,3222,16,3238,0,4698,2362,787,7,8,58
