縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數
基隆市,224889,1701,226590,4,297794,72562,152327
臺北市,1604802,12807,1617609,66,2042805,593256,1011546
臺北縣,2226334,21169,2247503,41,2878477,866915,1359419
桃園縣,1073018,10330,1083348,13,1396390,379416,693602
新竹市,225564,2036,227600,3,289862,79634,145930
新竹縣,281623,2723,284346,3,358433,73178,208445
苗栗縣,319864,2974,322838,4,420176,92795,227069
臺中縣,859404,8761,868165,13,1135237,353706,505698
臺中市,592730,5836,598566,9,769926,226751,365979
彰化縣,728834,7558,736392,4,981262,309134,419700
南投縣,289585,2467,292052,6,404968,109955,179630
雲林縣,387263,3451,390714,4,557704,199558,187705
嘉義市,152155,1154,153309,0,200834,72442,79713
嘉義縣,306436,2936,309372,13,427808,166833,139603
臺南市,439849,3843,443692,13,578159,216815,223034
臺南縣,631160,5614,636774,11,854240,354409,276751
高雄市,909619,7112,916731,6,1163546,440367,469252
高雄縣,727233,5859,733092,10,953610,373900,353333
屏東縣,497100,3823,500923,4,679205,249795,247305
宜蘭縣,254651,1991,256642,6,346921,123700,130951
花蓮縣,177607,1970,179577,5,260820,40003,137604
臺東縣,111382,977,112359,2,177843,29714,81668
金門縣,35094,172,35266,1,65572,1710,33384
澎湖縣,43218,363,43581,1,72170,18181,25037
連江縣,4549,19,4568,0,7860,220,4329
