縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數,3號得票數
基隆市,193714,2432,196146,6,306548,68357,93402,31955
臺北市,1457678,22540,1480218,73,2175986,546491,757383,153804
新北市,2127748,26481,2154229,50,3204367,709374,1165888,252486
桃園市,1073104,11898,1085002,8,1627598,369013,547573,156518
新竹市,221355,3138,224493,0,328580,71771,113386,36198
新竹縣,268136,3803,271939,1,412731,94603,114023,59510
苗栗縣,287028,3652,290680,4,448520,107779,130461,48788
臺中市,1442096,19800,1461896,41,2138519,430005,793281,218810
彰化縣,670660,10921,681581,22,1022962,193117,378736,98807
南投縣,260576,3649,264225,4,415122,83604,136104,40868
雲林縣,345125,4997,350122,6,566207,86047,218842,40236
嘉義市,138891,1492,140383,2,210758,38822,83143,16926
嘉義縣,279807,4295,284102,7,430885,65425,182913,31469
臺南市,993236,12457,1005693,16,1528246,219196,670608,103432
高雄市,1506756,18117,1524873,22,2254324,391823,955168,159765
屏東縣,449356,5595,454951,6,689170,121291,285297,42768
宜蘭縣,233302,3188,236490,9,369211,59216,144798,29288
花蓮縣,154843,2342,157185,1,267862,73894,57198,23751
臺東縣,97663,1208,98871,13,179547,43581,37517,16565
金門縣,36805,599,37404,0,111386,24327,6626,5852
澎湖縣,42623,643,43266,0,84222,12564,21658,8401
連江縣,4468,85,4553,0,10240,3065,739,664
